name,ticker,publication_date,recommendation_type,target_price,publication_price,institution
MOBRUK,MBR,2025-06-04,Akumuluj,321.00 zł,268.00 zł,Noble Securities
ATENDE,ATD,2025-05-26,Kupuj,3.77 zł,3.07 zł,BM Banku Pekao
PGE,PGE,2025-05-23,Kupuj,12.50 zł,9.21 zł,DM BOŚ
ENEA,ENA,2025-05-23,Trzymaj,19.00 zł,18.20 zł,DM BOŚ
SECOGROUP,SWG,2025-05-22,Trzymaj,27.90 zł,27.20 zł,Erste
ACTION,ACT,2025-05-22,Kupuj,27.20 zł,20.80 zł,DM BOŚ
IMS,IMS,2025-05-21,Kupuj,4.60 zł,3.75 zł,Millennium DM
SUNEX,SNX,2025-05-20,Kupuj,9.55 zł,7.04 zł,Ipopema Securities
BIOMAXIMA,BMX,2025-05-20,Kupuj,20.40 zł,13.30 zł,DM BDM
ENTER,ENT,2025-05-20,Kupuj,76.30 zł,60.50 zł,DM BDM
ZUE,ZUE,2025-05-19,Trzymaj,8.70 zł,8.90 zł,DM BDM
RELPOL,RLP,2025-05-19,Trzymaj,5.14 zł,5.46 zł,DM BDM
CREOTECH,CRI,2025-05-19,Trzymaj,333.30 zł,296.50 zł,BM Banku Pekao
PKNORLEN,PKN,2025-05-16,Kupuj,90.00 zł,71.70 zł,DM BOŚ
MIRACULUM,MIR,2025-05-14,Trzymaj,0.87 zł,0.80 zł,Ipopema Securities
ZEPAK,ZEP,2025-05-14,Kupuj,37.90 zł,19.20 zł,BM Banku Pekao
AGORA,AGO,2025-05-14,Kupuj,13.97 zł,9.96 zł,DM BDM
RAINBOW,RBW,2025-05-13,Kupuj,230.00 zł,159.60 zł,BM Banku Pekao
VIGOPHOTN,VGO,2025-05-13,Kupuj,640.00 zł,508.00 zł,Ipopema Securities
SYGNITY,SGN,2025-05-13,Sprzedaj,63.70 zł,91.00 zł,BM mBank
KINOPOL,KPL,2025-05-09,Kupuj,25.40 zł,18.10 zł,DM BDM
QUERCUS,QRS,2025-05-08,Trzymaj,12.50 zł,11.65 zł,BM Banku Pekao
ELEKTROTI,ELT,2025-05-08,Akumuluj,54.30 zł,49.85 zł,DM BDM
RAINBOW,RBW,2025-05-06,Kupuj,200.60 zł,146.00 zł,East Value Research
OPONEO.PL,OPN,2025-05-06,Trzymaj,109.00 zł,99.60 zł,BM PKO BP
UNIBEP,UNI,2025-05-06,Wycena,14.30 zł,10.60 zł,Noble Securities
BUDIMEX,BDX,2025-05-05,Sprzedaj,515.00 zł,662.20 zł,Noble Securities
ARTIFEX,ART,2025-04-29,Trzymaj,16.55 zł,15.40 zł,DM BDM
RYVU,RVU,2025-04-29,Kupuj,58.50 zł,33.95 zł,Trigon DM
CLOUD,CLD,2025-04-29,Kupuj,62.00 zł,47.90 zł,DM BOŚ
VOTUM,VOT,2025-04-28,Kupuj,56.60 zł,38.40 zł,DM BOŚ
ANSWEAR,ANR,2025-04-25,Akumuluj,31.30 zł,28.90 zł,Noble Securities
ATMGRUPA,ATG,2025-04-25,Kupuj,4.95 zł,3.85 zł,DM BDM
KGHM,KGH,2025-04-24,Kupuj,131.80 zł,123.65 zł,Trigon DM
NEUCA,NEU,2025-04-23,Kupuj,825.00 zł,687.00 zł,Trigon DM
SELVITA,SLV,2025-04-23,Kupuj,45.00 zł,30.00 zł,Trigon DM
FORTE,FTE,2025-04-22,Trzymaj,26.70 zł,27.90 zł,DM BOŚ
MOSTALZAB,MSZ,2025-04-22,Kupuj,6.30 zł,5.70 zł,DM BDM
SKARBIEC,SKH,2025-04-17,Kupuj,30.00 zł,23.50 zł,BM Banku Pekao
FABRITY,FAB,2025-04-17,Kupuj,32.00 zł,26.60 zł,Trigon DM
MLPGROUP,MLG,2025-04-14,Trzymaj,88.00 zł,82.20 zł,BM PKO BP
