ticker,name
06N,06MAGNA
08N,08OCTAVA
11B,11BIT
1AT,ATAL
1ATA,ATAL-PDA
3RG,3RGAMES
4MS,4MASS
AAT,ALTA
ABE,ABPL
ABS,ASSECOBS
ACG,ACAUTOGAZ
ACP,ASSECOPOL
ACT,ACTION
ADV,ADIUVO
AGO,AGORA
AGT,AGROTON
ALE,ALLEGRO
ALG,AIGAMES
ALI,ALTUS
ALL,AILLERON
ALR,ALIOR
AMB,AMBRA
AMC,AMICA
AML,ALUMETAL
ANR,ANSWEAR
APE,APSENERGY
APL,AMPLI
APN,APLISENS
APR,AUTOPARTN
APT,APATOR
ARH,ARCHICOM
ARHA,ARCHICOM-PDA
ARR,ARTERIA
ART,ARTIFEX
ASB,ASBIS
ASE,ASSECOSEE
ASM,ASMGROUP
AST,ASTARTA
ATC,ARCTIC
ATD,ATENDE
ATG,ATMGRUPA
ATP,ATLANTAPL
ATR,ATREM
ATS,ATLANTIS
ATT,GRUPAAZOTY
AWM,AIRWAY
B24,BRAND24
BAH,BAHOLDING
BBD,BBIDEV
BBT,BOOMBIT
BCM,BETACOM
BCS,BIGCHEESE
BCX,BIOCELTIX
BDX,BUDIMEX
BFT,BENEFIT
BFTA,BENEFIT-PDA
BHW,HANDLOWY
BIO,BIOTON
BIP,BIOPLANET
BLO,BLOOBER
BMC,BUMECH
BML,BIOMEDLUB
BMX,BIOMAXIMA
BNP,BNPPPL
BOS,BOS
BOW,BOWIM
BRA,BRASTER
BRG,BERLING
BRS,BORYSZEW
BST,BEST
CAP,CAPITEA
CAR,INTERCARS
CAV,CAVATINA
CBF,CYBERFLKS
CCC,CCC
CCE,CCENERGY
CDL,CDRL
CDR,CDPROJEKT
CEZ,CEZ
CFI,CFI
CIE,CIECH
CIG,CIGAMES
CLC,COLUMBUS
CLD,CLOUD
CLE,COALENERG
CLN,CLNPHARMA
CMP,COMP
CMR,COMARCH
CNT,CNT
COG,COGNOR
CPA,CAPITAL
CPD,CELTIC
CPG,CPGROUP
CPI,CPIEUROPE
CPL,COMPERIA
CPR,COMPREMUM
CPS,CYFRPLSAT
CRI,CREOTECH
CRIA,CREOTECH-PDA
CRJ,CREEPYJAR
CRM,CORMAY
CSR,CASPAR
CTS,CITYSERV
CTX,CAPTORTX
CTXA,CAPTORTX-PDA
CZT,CZTOREBKA
DAD,DADELO
DAT,DATAWALK
DBC,DEBICA
DBE,DBENERGY
DBE1,DBE1
DBEA,DBENERGY-PDA
DCR,DECORA
DEK,DEKPOL
DEL,DELKO
DGA,DGA
DGE,DRAGOENT
DIA,DIAG
DIA1,DIA1
DIE1,DIE1
DIG,DIGITANET
DMG,DMGROUP
DNP,DINOPL
DOM,DOMDEV
DPL,DROZAPOL
DTR,DIGITREE
DVL,DEVELIA
EAH,ESOTIQ
EAT,AMREST
ECB,ECBSA
ECH,ECHO
EDI,EDINVEST
EEX,EKOEXPORT
EFK,EFEKT
EHG,EUROHOLD
EKP,ELKOP
ELT,ELEKTROTI
ELZ,ELZAB
EMC,EMCINSMED
ENA,ENEA
ENE,ENELMED
ENG,ENERGA
ENI,ENERGOINS
ENP,ENAP
ENT,ENTER
EQU,EQUNICO
ERB,ERBUD
ERG,ERG
