company_name,ticker,market,indices,industry
4MOBILITY,4MB,NewConnect,,oprogramowanie
7FIT,7FT,NewConnect,,sieci handlowe - pozostałe
7LEVELS,7LV,NewConnect,,Gry
A.P.N. PROMISE,PRO,NewConnect,,oprogramowanie
ABAK,ABK,NewConnect,,Usługi dla przedsiębiorstw
ABS INVESTMENT ALTERNATYWNA SPÓŁKA INWESTYCYJNA,AIN,NewConnect,,Działalność Inwestycyjna
ADATEX,ADX,NewConnect,,sieci handlowe - pozostałe
ADVANCED MEDICAL EQUIPMENT SPÓLKA AKCYJNA,AME,NewConnect,,Sprzęt i Materiały Medyczne
ADVERTIGO,AVE,NewConnect,,wydawnictwa
AFORTI HOLDING,AFH,NewConnect,,Pośrednictwo Finansowe
AGENCJA ROZWOJU INNOWACJI,ARI,NewConnect,,Usługi dla przedsiębiorstw
AGROLIGA GROUP PLC,AGL,NewConnect,,produkcja rolna i rybołówstwo
AGROMEP,AGP,NewConnect,,artykuły elektryczne
AITON CALDWELL,AIT,NewConnect,,Telekomunikacja
AKCEPT FINANCE,AFC,NewConnect,,Leasing i Faktoring
ANALIZY ONLINE,AOL,NewConnect,,media - pozostałe
APANET,APA,NewConnect,,instalacje budowlane i telekomunikacyjne
APIS,ASA,NewConnect,,budownictwo - pozostałe
APOLLO CAPITAL ALTERNATYWNA SPÓŁKA INWESTYCYJNA,APC,NewConnect,,Działalność Inwestycyjna
AQT WATER W LIKWIDACJI,AQT,NewConnect,,instalacje budowlane i telekomunikacyjne
AQUA W BIELSKU-BIAŁEJ,AQU,NewConnect,,Dystrybucja Ciepła i Wody
AQUA W POZNANIU,AQA,NewConnect,,inżynieria lądowa i wodna
ART GAMES STUDIO,ARG,NewConnect,,Gry
ARTS ALLIANCE,AAS,NewConnect,,Usługi dla przedsiębiorstw
ASTRO,ASR,NewConnect,,media - pozostałe
ATC CARGO,ATA,NewConnect,,logistyka
ATOMIC JELLY,ATJ,NewConnect,,Gry
ATON-HT,ATO,NewConnect,,Recykling
AUTOMATYKA-POMIARY-STEROWANIE,APS,NewConnect,,instalacje budowlane i telekomunikacyjne
AUXILIA,AUX,NewConnect,,ubezpieczenia - pozostałe
AZTEC INTERNATIONAL,AZC,NewConnect,,materiały budowlane
B-ACT,BAC,NewConnect,,Usługi dla przedsiębiorstw
BAKED GAMES,BKD,NewConnect,,Gry
BALTICON,BLT,NewConnect,,logistyka
BEEIN,BEE,NewConnect,,energia odnawialna
BELEAF,BLF,NewConnect,,Usługi dla przedsiębiorstw
BERG HOLDING,BRH,NewConnect,,sprzedaż nieruchomości
BINARY HELIX,BHX,NewConnect,,Nowe Technologie
BIOGENED,BGD,NewConnect,,Produkcja Leków
BIOMASS ENERGY PROJECT,BEP,NewConnect,,energia odnawialna
BIZTECH KONSULTING,BTK,NewConnect,,systemy informatyczne
BLACK PEARL,BPC,NewConnect,,Działalność Inwestycyjna
BLACK POINT,BPN,NewConnect,,informatyka - pozostałe
BLACK ROSE PROJECTS,BRP,NewConnect,,Gry
BRAINSCAN,BSN,NewConnect,,oprogramowanie
BRAS,BSA,NewConnect,,wynajem nieruchomości
BRG,BER,NewConnect,,Recykling
BRIDGE SOLUTIONS HUB,BSH,NewConnect,,reklama i marketing
BROWAR CZARNKÓW,BRO,NewConnect,,napoje
BTC STUDIOS,BTC,NewConnect,,Gry
CANNABIS POLAND,CBD,NewConnect,,Handel Internetowy
CARBON STUDIO,CRB,NewConnect,,Gry
CARLSON INVESTMENTS SE,CAI,NewConnect,,Działalność Inwestycyjna
CARPATHIA CAPITAL ALTERNATYWNA SPÓŁKA INWESTYCYJNA,CRC,NewConnect,,Działalność Inwestycyjna
CDA,CDA,NewConnect,,portale internetowe
CENTRUM FINANSOWE,CFS,NewConnect,,Wierzytelności
CENTURION FINANCE ASI,CTF,NewConnect,,Działalność Inwestycyjna
CEREAL PLANET PLC,CRP,NewConnect,,żywność
CHERRYPICK GAMES,CHP,NewConnect,,Gry
CM INTERNATIONAL,CMI,NewConnect,,Sprzęt i Materiały Medyczne
COMECO,CMC,NewConnect,,chemikalia
CONSOLE LABS,CLA,NewConnect,,Gry
CONSOLEWAY,CWA,NewConnect,,Gry
CONSTANCE CARE,CCR,NewConnect,,Szpitale i Przychodnie
COSMA,COS,NewConnect,,artykuły spożywcze - pozostałe
CREATIVEFORGE GAMES,CFG,NewConnect,,Gry
CTE GROUP,CTE,NewConnect,,Handel i Usługi - Pozostałe
CYFROWE CENTRUM SERWISOWE,CCS,NewConnect,,komputery i elektronika
DANKS EUROPEJSKIE CENTRUM DORADZTWA PODATKOWEGO,DNS,NewConnect,,Usługi dla przedsiębiorstw
DARK POINT GAMES,DPG,NewConnect,,Gry
DEKTRA,DKR,NewConnect,,zaopatrzenie przedsiębiorstw - pozostałe
DEMOLISH GAMES,DGS,NewConnect,,Gry
DETALION GAMES,DEG,NewConnect,,Gry
DG-NET,DGN,NewConnect,,Telekomunikacja
DI VOLIO,DIV,NewConnect,,Działalność Inwestycyjna
DIGITAL SPACE,NFP,NewConnect,,media - pozostałe
DITIX,DTX,NewConnect,,Wierzytelności
DR.FINANCE,DRF,NewConnect,,Pośrednictwo Finansowe
DRAGEUS GAMES,DRG,NewConnect,,Gry
DRAW DISTANCE,DDI,NewConnect,,Gry
DUALITY,DUA,NewConnect,,Gry
E-KIOSK,EKS,NewConnect,,Handel Internetowy
E-XIM IT,EXM,NewConnect,,systemy informatyczne
ECC GAMES,ECC,NewConnect,,Gry
ECL,ECL,NewConnect,,Telekomunikacja
ECNOLOGY GROUP,ECN,NewConnect,,Usługi dla przedsiębiorstw
ECO5TECH,ECT,NewConnect,,budownictwo ogólne
EDITEL POLSKA,EDL,NewConnect,,oprogramowanie
EKIPA HOLDING,EEE,NewConnect,,media - pozostałe
EKO-OZE,EKE,NewConnect,,Szpitale i Przychodnie
EKOBOX,EBX,NewConnect,,instalacje budowlane i telekomunikacyjne
EKOPARK,EPR,NewConnect,,instalacje budowlane i telekomunikacyjne
EKOPOL GÓRNOŚLĄSKI HOLDING,EGH,NewConnect,,dystrybucja paliw i gazu
ELEKTROMONT,ELM,NewConnect,,instalacje budowlane i telekomunikacyjne
ELQ,ELQ,NewConnect,,energia odnawialna
EMPLOCITY,EMP,NewConnect,,oprogramowanie
ENEIDA GAMES,END,NewConnect,,Gry
ENERGY,EGY,NewConnect,,Działalność Inwestycyjna
EO NETWORKS,EON,NewConnect,,oprogramowanie
ERATO ENERGY,ERA,NewConnect,,energia odnawialna
ESKIMOS,ESK,NewConnect,,żywność
EURO-TAX.PL,ETX,NewConnect,,Pośrednictwo Finansowe
EUROINVESTMENT,VIV,NewConnect,,media - pozostałe
EUROPEJSKI FUNDUSZ ENERGII,EFE,NewConnect,,Działalność Inwestycyjna
EUROSNACK,ECK,NewConnect,,żywność
EXAMOBILE,EXA,NewConnect,,oprogramowanie
EXCELLENCE,EXC,NewConnect,,napoje
FABRYKA KONSTRUKCJI DREWNIANYCH,FKD,NewConnect,,budownictwo - pozostałe
FALCON 1 GREEN WORLD,FLG,NewConnect,,Gry
FARMY FOTOWOLTAIKI POLSKA,FFP,NewConnect,,budownictwo przemysłowe
FEMION TECHNOLOGY,FEM,NewConnect,,Technologie - Pozostałe
FIGENE CAPITAL,FIG,NewConnect,,energia odnawialna
FINTECH,FTH,NewConnect,,systemy informatyczne
FOOTHILLS,FTL,NewConnect,,media - pozostałe
FORBUILD,FRB,NewConnect,,budownictwo - pozostałe
FOREVER ENTERTAINMENT,FOR,NewConnect,,Gry
FORPOSTA,FPO,NewConnect,,logistyka
FOTO VOLT EKO ENERGIA,FVE,NewConnect,,energia odnawialna
FREEMIND,FRM,NewConnect,,Gry
FROZEN WAY,FRW,NewConnect,,Gry
FUNDUSZ HIPOTECZNY DOM,FHD,NewConnect,,Pośrednictwo Finansowe
G-DEVS,GDS,NewConnect,,Gry
G-ENERGY,GNG,NewConnect,,energia odnawialna
GALVO,GAL,NewConnect,,Usługi dla przedsiębiorstw
GAMEDUST,GDC,NewConnect,,Gry
GAMEHUNTERS,GHT,NewConnect,,Gry
GAMIVO,GMV,NewConnect,,Gry
GARIN,GAR,NewConnect,,motoryzacja - pozostałe
GENERATIONIS.AI,IFA,NewConnect,,oprogramowanie
GENOMED,GEN,NewConnect,,Biotechnologia
GENXONE,GX1,NewConnect,,Biotechnologia
GEOTRANS,GTS,NewConnect,,Recykling
GKS GIEKSA KATOWICE,GKS,NewConnect,,kluby sportowe
GLOBAL HYDROGEN,GHY,NewConnect,,energia odnawialna
GO24.PL,GTF,NewConnect,,zarządzanie aktywami
GOLAB,GOL,NewConnect,,zaopatrzenie przedsiębiorstw - pozostałe
GOVENA LIGHTING,GOV,NewConnect,,urządzenia elektryczne
GREEN ZEBRAS,GRZ,NewConnect,,artykuły spożywcze - pozostałe
GREMI MEDIA,GME,NewConnect,,wydawnictwa
GREMPCO,GRM,NewConnect,,Działalność Inwestycyjna
GRUPA HRC,HRC,NewConnect,,Usługi dla przedsiębiorstw
GRUPA KLEPSYDRA,KLE,NewConnect,,Handel i Usługi - Pozostałe
GRUPA MODNE ZAKUPY,GMZ,NewConnect,,Handel Internetowy
GRUPA RECYKL,GRC,NewConnect,,Recykling
HEMP & HEALTH,HMP,NewConnect,,Ochrona Zdrowia - Pozostałe
HIGHLANDER ENTERPRISE,HER,NewConnect,,Nowe Technologie
HIPOWER ENERGY,HPE,NewConnect,,Handel Internetowy
HIPROMINE,HPM,NewConnect,,produkcja rolna i rybołówstwo
HONEY PAYMENT GROUP,HPG,NewConnect,,chemikalia
HORNIGOLD REIT,HRL,NewConnect,,wynajem nieruchomości
HORTICO,HOR,NewConnect,,artykuły spożywcze - pozostałe
HUB.TECH,HUB,NewConnect,,chemia specjalistyczna
HURTIMEX,HRT,NewConnect,,odzież i obuwie
HYDRAPRES,HPS,NewConnect,,wyroby metalowe
HYENERGY,HEN,NewConnect,,Działalność Inwestycyjna
IBC POLSKA F&P,IBC,NewConnect,,zaopatrzenie przedsiębiorstw - pozostałe
ICE CODE GAMES,ICG,NewConnect,,Gry
IDH DEVELOPMENT,IDH,NewConnect,,budownictwo ogólne
IGORIA TRADE,IGT,NewConnect,,Pośrednictwo Finansowe
IMAGE POWER,IPW,NewConnect,,Gry
IMMERSION GAMES,IMG,NewConnect,,Gry
INCUVO,IVO,NewConnect,,Gry
INDOS,INS,NewConnect,,Leasing i Faktoring
INSIDE PARK,ISD,NewConnect,,sprzedaż nieruchomości
INTERCAPITAL PROPERTY DEVELOPMENT ADSIC,ICD,NewConnect,,wynajem nieruchomości
INTERMARUM,IMR,NewConnect,,Gry
INTERNET UNION,IUS,NewConnect,,Telekomunikacja
INTERNITY,INT,NewConnect,,materiały budowlane
INVENTIONMED,INM,NewConnect,,Ochrona Zdrowia - Pozostałe
INVESTEKO,IVE,NewConnect,,Recykling
IRON WOLF STUDIO,IWS,NewConnect,,Gry
JRC GROUP,JRC,NewConnect,,sprzęt elektryczny i elektroniczny
JUJUBEE,JJB,NewConnect,,Gry
KANCELARIA MEDIUS,KME,NewConnect,,Wierzytelności
KANCELARIA PRAWNA - INKASO WEC,KPI,NewConnect,,Wierzytelności
KBJ,KBJ,NewConnect,,oprogramowanie
KLABATER,KBT,NewConnect,,Gry
KLON,KLN,NewConnect,,drewno
KOLEJKOWO,KLK,NewConnect,,rekreacja i wypoczynek - pozostałe
KOOL2PLAY,K2P,NewConnect,,Gry
KORBANK,KOR,NewConnect,,Telekomunikacja
KUBOTA,KUB,NewConnect,,odzież i obuwie
KUPIEC,KPC,NewConnect,,logistyka
LABOCANNA,LCN,NewConnect,,wynajem nieruchomości
LEGIMI,LEG,NewConnect,,oprogramowanie
LETUS CAPITAL,LET,NewConnect,,Usługi dla przedsiębiorstw
LEXBONO,LXB,NewConnect,,Wierzytelności
LICHTHUND,LHD,NewConnect,,Gry
LIVE MOTION GAMES,LMG,NewConnect,,Gry
LOGINTRADE,LGT,NewConnect,,oprogramowanie
LOKATY BUDOWLANE,LBD,NewConnect,,sprzedaż nieruchomości
LONGTERM GAMES,LTM,NewConnect,,Gry
LUDUS,LUD,NewConnect,,Działalność Inwestycyjna
LUG,LUG,NewConnect,,instalacje budowlane i telekomunikacyjne
LUKARDI,LUK,NewConnect,,systemy informatyczne
LUON,LUO,NewConnect,,Nowe Technologie
M FOOD,MFD,NewConnect,,artykuły spożywcze i szybko zbywalne
M4B,M4B,NewConnect,,oprogramowanie
MADKOM,MAD,NewConnect,,oprogramowanie
MADMIND STUDIO,MMS,NewConnect,,Gry
MADNETIC GAMES,MGS,NewConnect,,Gry
MAKOLAB,MLB,NewConnect,,oprogramowanie
MARKA,MRK,NewConnect,,Pośrednictwo Finansowe
MASSMEDICA,MSM,NewConnect,,Sprzęt i Materiały Medyczne
MAXIPIZZA,MXP,NewConnect,,hotele i restauracje
MAZOP GROUP,MAZ,NewConnect,,papier i opakowania
MBF GROUP,MBF,NewConnect,,Usługi dla przedsiębiorstw
MEDAPP,MDA,NewConnect,,reklama i marketing
MEDARD,MRD,NewConnect,,Handel i Usługi - Pozostałe
MEDCAMP,MDP,NewConnect,,Działalność Inwestycyjna
MEDICOFARMA BIOTECH,MDB,NewConnect,,Biotechnologia
MEDTECH SOLUTIONS,MDT,NewConnect,,Handel Internetowy
MEGAPIXEL STUDIO,MPS,NewConnect,,Gry
MENNICA SKARBOWA,MNS,NewConnect,,Handel Internetowy
MENTZEN,XDD,NewConnect,,Usługi dla przedsiębiorstw
MERA,MER,NewConnect,,materiały budowlane
MERLIN GROUP,MRG,NewConnect,,Handel Internetowy
MILESTONE MEDICAL. INC.,MMD,NewConnect,,Sprzęt i Materiały Medyczne
MILISYSTEM,MLM,NewConnect,,Dobra Konsumpcyjne - Pozostałe
MILKPOL,MLP,NewConnect,,napoje
MILTON ESSEX,MTN,NewConnect,,Sprzęt i Materiały Medyczne
MINERAL MIDRANGE,MND,NewConnect,,oprogramowanie
MINUTOR ENERGIA,MTE,NewConnect,,energia odnawialna
MM CONFERENCES,MMC,NewConnect,,media - pozostałe
MOLIERA2,MO2,NewConnect,,Handel Internetowy
MOONLIT,MLT,NewConnect,,Gry
MPAY,MPY,NewConnect,,Pośrednictwo Finansowe
MPL VERBUM,VER,NewConnect,,rekreacja i wypoczynek - pozostałe
MR HAMBURGER,MRH,NewConnect,,hotele i restauracje
MUNAR,MUN,NewConnect,,Gry
MVA GREEN ENERGY,GRE,NewConnect,,energia odnawialna
MYCODERN,MCD,NewConnect,,artykuły spożywcze - pozostałe
NESTMEDIC,NST,NewConnect,,Sprzęt i Materiały Medyczne
NEURONE STUDIO,NRS,NewConnect,,Gry
NEW TECH VENTURE,NTV,NewConnect,,reklama i marketing
NEXTBIKE POLSKA,NXB,NewConnect,,sport i rekreacja
NOOBZ FROM POLAND,NOB,NewConnect,,Gry
NOTORIA,NTS,NewConnect,,media - pozostałe
NOVINA POZYCZKIHIPOTECZNE.EU,NOV,NewConnect,,Pośrednictwo Finansowe
NWAI DOM MAKLERSKI,NWA,NewConnect,,giełdy i biura maklerskie
OLYMP,OLY,NewConnect,,rekreacja i wypoczynek - pozostałe
ONE MORE LEVEL,OML,NewConnect,,Gry
ONE SOLUTION,ONE,NewConnect,,Wierzytelności
ONE2TRIBE,O2T,NewConnect,,oprogramowanie
ONICO,ONC,NewConnect,,dystrybucja paliw i gazu
OPTIGIS,OPI,NewConnect,,sprzęt informatyczny
ORGANIC FARMA ZDROWIA,ORG,NewConnect,,artykuły codziennego użytku
ORZEŁ,ORL,NewConnect,,Recykling
OUTDOORZY,OUT,NewConnect,,Handel Internetowy
OVID WORKS,OVI,NewConnect,,Gry
OXYGEN,OXY,NewConnect,,Gry
OZE CAPITAL,OZE,NewConnect,,energia odnawialna
PARCEL TECHNIK,PTE,NewConnect,,logistyka
PARTNER-NIERUCHOMOŚCI,PRN,NewConnect,,sprzedaż nieruchomości
PL GROUP,PLG,NewConnect,,motoryzacja - pozostałe
PLANET B2B,P2B,NewConnect,,systemy informatyczne
PLANTWEAR W UPADŁOŚCI,PNW,NewConnect,,odzież i obuwie
PLASMA SYSTEM W UPADŁOŚCI,PSM,NewConnect,,Usługi dla przedsiębiorstw
PLATIGE IMAGE,PLI,NewConnect,,media - pozostałe
PLAY2CHILL,P2C,NewConnect,,Gry
PLOT TWIST,PLT,NewConnect,,Gry
POINTPACK,PNT,NewConnect,,logistyka
POLARIS IT GROUP,PIT,NewConnect,,systemy informatyczne
POLMAN,PLM,NewConnect,,Usługi dla przedsiębiorstw
POLSKA GRUPA MILITARNA,PMG,NewConnect,,Dobra Konsumpcyjne - Pozostałe
POLSKI HOLDING ROZWOJU,PRH,NewConnect,,Gry
POLTRONIC,PTN,NewConnect,,artykuły elektryczne
POLYSLASH,PSH,NewConnect,,Gry
PREFA GROUP,PFG,NewConnect,,budownictwo ogólne
PRESENT24,P24,NewConnect,,Handel Internetowy
PRIME ALTERNATYWNA SPÓŁKA INWESTYCYJNA,PRA,NewConnect,,Działalność Inwestycyjna
PRIME BIT GAMES,PBT,NewConnect,,Gry
PRIVATE RENTED SECTOR,RNT,NewConnect,,wynajem nieruchomości
PROACTA,PAC,NewConnect,,informatyka - pozostałe
PROGUNS GROUP,PGG,NewConnect,,Gry
PRYMUS,PRS,NewConnect,,chemikalia
PRZEDSIĘBIORSTWO PRZEMYSŁU BETONÓW PREFABET - BIAŁE BŁOTA,PBB,NewConnect,,materiały budowlane
PRZEDSIĘBIORSTWO TELEKOMUNIKACYJNE TELGAM,TLG,NewConnect,,Telekomunikacja
PUNCH PUNK,PPG,NewConnect,,Gry
PYRAMID GAMES,PDG,NewConnect,,Gry
QNA TECHNOLOGY,QNA,NewConnect,,Nowe Technologie
QUART DEVELOPMENT,QRT,NewConnect,,sprzedaż nieruchomości
QUARTICON,QON,NewConnect,,oprogramowanie
QUBICGAMES,QUB,NewConnect,,Gry
READ-GENE,RDG,NewConnect,,Biotechnologia
RED CARPET MEDIA GROUP,RCM,NewConnect,,radio i telewizja
RED SQUARE GAMES,RSG,NewConnect,,Gry
REMOR SOLAR POLSKA,RSP,NewConnect,,hotele i restauracje
ROAD STUDIO,RST,NewConnect,,Gry
ROBINSON EUROPE,RBS,NewConnect,,Dobra Konsumpcyjne - Pozostałe
ROBS GROUP LOGISTIC,RGL,NewConnect,,zaopatrzenie przedsiębiorstw - pozostałe
ROCCA,RCA,NewConnect,,materiały budowlane
RRH GROUP,RRH,NewConnect,,budownictwo przemysłowe
RUCH CHORZÓW,RCW,NewConnect,,kluby sportowe
