company_name,ticker,market,indices,industry
11 BIT STUDIOS,11B,Główny Rynek,"GPWB-CENTR, WIG140, WIG-gry, WIGtechTR, CEEplus, WIG.GAMES5, mWIG40TR, WIG30TR, WIG30, WIG-Poland, mWIG40, WIG",Gry
3R GAMES,3RG,Główny Rynek,"WIG-gry, WIG-Poland, WIG",Gry
4MASS,4MS,Główny Rynek,"INNOVATOR, WIG-odzież, WIG-Poland, WIG",kosmetyki i chemia gospodarcza
AB,ABE,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-Poland, mWIG40, WIG",komputery i elektronika
AC,ACG,Główny Rynek,"WIG140, INNOVATOR, sWIG80TR, WIG-motoryzacja, WIG-Poland, sWIG80, WIG",części samochodowe
ACTION,ACT,Główny Rynek,"WIG-Poland, WIG",komputery i elektronika
AGORA,AGO,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, WIG-media, sWIG80, WIG",wydawnictwa
AGROTON PUBLIC LIMITED,AGT,Główny Rynek,"WIG-CEE, WIG-Ukraine, WIG-spożywczy, WIG",produkcja rolna i rybołówstwo
AGROTON PUBLIC LIMITED,AGT,Główny Rynek,"WIG-CEE, WIG-Ukraine, WIG-spożywczy, WIG",produkcja rolna i rybołówstwo
AILLERON,ALL,Główny Rynek,"WIG140, WIGtechTR, sWIG80TR, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
AILLERON,ALL,Główny Rynek,"WIG140, WIGtechTR, sWIG80TR, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
AIRWAY MEDIX,AWM,Główny Rynek,"WIG-Poland, WIG",Sprzęt i Materiały Medyczne
AIRWAY MEDIX,AWM,Główny Rynek,"WIG-Poland, WIG",Sprzęt i Materiały Medyczne
ALIOR BANK,ALR,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, WIG.MS-FIN, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG-banki, WIG20, WIG",banki komercyjne
ALIOR BANK,ALR,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, WIG.MS-FIN, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG-banki, WIG20, WIG",banki komercyjne
ALLEGRO.EU S.A.,ALE,Główny Rynek,"WIG.MS-ECM, GPWB-CENTR, WIG140, CEEplus, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG20, WIG",Handel Internetowy
ALLEGRO.EU S.A.,ALE,Główny Rynek,"WIG.MS-ECM, GPWB-CENTR, WIG140, CEEplus, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG20, WIG",Handel Internetowy
ALTA,AAT,Główny Rynek,"WIG-Poland, WIG-nieruchomości, WIG",sprzedaż nieruchomości
ALTA,AAT,Główny Rynek,"WIG-Poland, WIG-nieruchomości, WIG",sprzedaż nieruchomości
ALTUS,ALI,Główny Rynek,"WIG-Poland, WIG",zarządzanie aktywami
ALTUS,ALI,Główny Rynek,"WIG-Poland, WIG",zarządzanie aktywami
AMBRA,AMB,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIGdiv, WIG-Poland, WIG-spożywczy, sWIG80, WIG",napoje
AMBRA,AMB,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIGdiv, WIG-Poland, WIG-spożywczy, sWIG80, WIG",napoje
AMICA,AMC,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIG-Poland, sWIG80, WIG",sprzęt elektryczny i elektroniczny
AMICA,AMC,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIG-Poland, sWIG80, WIG",sprzęt elektryczny i elektroniczny
AMREST HOLDINGS SE,EAT,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-Poland, mWIG40, WIG",hotele i restauracje
ANSWEAR.COM,ANR,Główny Rynek,"WIG-Poland, WIG",Handel Internetowy
APATOR,APT,Główny Rynek,"WIGdivplus, WIGind, WIG140, sWIG80TR, WIGdiv, WIG-Poland, sWIG80, WIG",urządzenia elektryczne
APLISENS,APN,Główny Rynek,"WIGind, WIG-Poland, WIG",urządzenia elektryczne
APS ENERGIA,APE,Główny Rynek,"WIG-Poland, WIG",urządzenia elektryczne
ARCHICOM,ARH,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIGdiv, WIG-Poland, WIG-nieruchomości, sWIG80, WIG",sprzedaż nieruchomości
ARCTIC PAPER,ATC,Główny Rynek,"WIGdivplus, WIGind, GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, sWIG80, WIG",papier i opakowania
ARTIFEX MUNDI,ART,Główny Rynek,"GPWB-CENTR, WIG-gry, WIGtechTR, CEEplus, WIG-Poland, WIG",Gry
AS SILVANO FASHION GROUP,SFG,Główny Rynek,"WIG-odzież, WIG",odzież i obuwie
ASBISC ENTERPRISES PLC,ASB,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIGdiv, mWIG40, WIG",komputery i elektronika
ASSECO BUSINESS SOLUTIONS,ABS,Główny Rynek,"WIGdivplus, WIG140, WIGtechTR, sWIG80TR, WIGdiv, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
ASSECO POLAND,ACP,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, WIGtechTR, CEEplus, mWIG40TR, WIG30TR, WIG30, WIGdiv, WIG-Poland, WIG-informatyka, mWIG40, WIG",systemy informatyczne
ASSECO SOUTH EASTERN EUROPE,ASE,Główny Rynek,"WIGdivplus, WIG140, WIGtechTR, sWIG80TR, WIGdiv, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
ASTARTA HOLDING PLC,AST,Główny Rynek,"WIG140, sWIG80TR, WIG-CEE, WIG-Ukraine, WIG-spożywczy, sWIG80, WIG",produkcja rolna i rybołówstwo
ATAL,1AT,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, WIG-nieruchomości, sWIG80, WIG",sprzedaż nieruchomości
ATENDE,ATD,Główny Rynek,"WIG-Poland, WIG-informatyka, WIG",systemy informatyczne
ATLANTA POLAND,ATP,Główny Rynek,"WIG-Poland, WIG-spożywczy, WIG",żywność
ATLANTIS SE,ATS,Główny Rynek,"WIG-CEE, WIG",Działalność Inwestycyjna
ATM GRUPA,ATG,Główny Rynek,"WIG-Poland, WIG-media, WIG",radio i telewizja
ATREM,ATR,Główny Rynek,"WIG-Poland, WIG-budownictwo, WIG",instalacje budowlane i telekomunikacyjne
AUTO PARTNER,APR,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-motoryzacja, WIG-Poland, mWIG40, WIG",części samochodowe
BANCO SANTANDER S.A.,SAN,Główny Rynek,"WIG-banki, WIG",banki komercyjne
BANK HANDLOWY W WARSZAWIE,BHW,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-Poland, WIG-banki, mWIG40, WIG",banki komercyjne
BANK MILLENNIUM,MIL,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-Poland, WIG-banki, mWIG40, WIG",banki komercyjne
BANK OCHRONY ŚRODOWISKA,BOS,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, WIG-banki, sWIG80, WIG",banki komercyjne
BANK POLSKA KASA OPIEKI,PEO,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, WIG.MS-FIN, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG-banki, WIG20, WIG",banki komercyjne
BBI DEVELOPMENT,BBD,Główny Rynek,"WIG-Poland, WIG-nieruchomości, WIG",sprzedaż nieruchomości
BENEFIT SYSTEMS,BFT,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-Poland, mWIG40, WIG",rekreacja i wypoczynek - pozostałe
BETACOM,BCM,Główny Rynek,"INNOVATOR, WIG-Poland, WIG-informatyka, WIG",oprogramowanie
BIG CHEESE STUDIO,BCS,Główny Rynek,"WIG-gry, WIG-Poland, WIG",Gry
BIO PLANET,BIP,Główny Rynek,"WIG-Poland, WIG",artykuły codziennego użytku
BIOCELTIX,BCX,Główny Rynek,"WIGmed, WIG140, WIGtechTR, sWIG80TR, WIG-Poland, sWIG80, WIG",Biotechnologia
BIOMAXIMA,BMX,Główny Rynek,"WIGmed, WIG-Poland, WIG",Biotechnologia
BIOTON,BIO,Główny Rynek,"WIGmed, WIG140, sWIG80TR, WIG-leki, WIG-Poland, sWIG80, WIG",Produkcja Leków
BLOOBER TEAM,BLO,Główny Rynek,"WIG140, WIG-gry, WIGtechTR, sWIG80TR, WIG-Poland, sWIG80, WIG",Gry
BNP PARIBAS BANK POLSKA,BNP,Główny Rynek,"GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, WIG-banki, sWIG80, WIG",banki komercyjne
BOOMBIT,BBT,Główny Rynek,"WIG-gry, WIG-Poland, WIG",Gry
BORYSZEW,BRS,Główny Rynek,"WIGdivplus, WIGind, WIG140, sWIG80TR, WIG-Poland, sWIG80, WIG",hutnictwo metali nieżelaznych
BOWIM,BOW,Główny Rynek,"WIG-Poland, WIG",wyroby hutnicze
BUDIMEX,BDX,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, INNOVATOR, CEEplus, WIG30TR, WIG30, WIG20TR, WIGdiv, WIG-Poland, WIG-budownictwo, WIG20, WIG",budownictwo ogólne
BUMECH,BMC,Główny Rynek,"WIGind, GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, sWIG80, WIG",urządzenia mechaniczne
CAPITEA,CAP,Główny Rynek,"WIG-Poland, WIG",Wierzytelności
CAPTOR THERAPEUTICS,CTX,Główny Rynek,"WIGmed, WIG140, WIGtechTR, sWIG80TR, WIG-Poland, sWIG80, WIG",Biotechnologia
CASPAR ASSET MANAGEMENT,CSR,Główny Rynek,"WIG-Poland, WIG",zarządzanie aktywami
CAVATINA HOLDING,CAV,Główny Rynek,"WIG-Poland, WIG-nieruchomości, WIG",wynajem nieruchomości
CCC,CCC,Główny Rynek,"GPWB-CENTR, WIG140, INNOVATOR, CEEplus, WIG-odzież, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG20, WIG",odzież i obuwie
CD PROJEKT,CDR,Główny Rynek,"GPWB-CENTR, WIG140, WIG-gry, WIGtechTR, CEEplus, WIG.GAMES5, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG20, WIG",Gry
CDRL,CDL,Główny Rynek,"WIG-odzież, WIG-Poland, WIG",odzież i obuwie
CELON PHARMA,CLN,Główny Rynek,"WIGmed, GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIG-leki, WIGdiv, WIG-Poland, mWIG40, WIG",Produkcja Leków
CENTRUM MEDYCZNE ENEL-MED,ENE,Główny Rynek,"WIGmed, WIG-Poland, WIG",Szpitale i Przychodnie
CI GAMES SPÓŁKA EUROPEJSKA,CIG,Główny Rynek,"GPWB-CENTR, WIG140, WIG-gry, WIGtechTR, CEEplus, WIG.GAMES5, sWIG80TR, WIG-Poland, sWIG80, WIG",Gry
CLOUD TECHNOLOGIES,CLD,Główny Rynek,"WIG-Poland, WIG",Nowe Technologie
COAL ENERGY S.A.,CLE,Główny Rynek,"WIG-CEE, WIG-Ukraine, WIG-górnictwo, WIG",górnictwo węgla
COGNOR HOLDING,COG,Główny Rynek,"WIGind, GPWB-CENTR, WIG140, CEEplus, sWIG80TR, WIG-Poland, sWIG80, WIG",hutnictwo żelaza i stali
COLUMBUS ENERGY,CLC,Główny Rynek,"WIG140, sWIG80TR, WIG-energia, WIG-Poland, sWIG80, WIG",energia odnawialna
COMP,CMP,Główny Rynek,"GPWB-CENTR, WIG140, WIGtechTR, CEEplus, sWIG80TR, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
COMPERIA.PL,CPL,Główny Rynek,"WIG-Poland, WIG-media, WIG",portale internetowe
COMPREMUM,CPR,Główny Rynek,"WIG-Poland, WIG-budownictwo, WIG",materiały budowlane
CPD,CPD,Główny Rynek,"WIG-Poland, WIG-nieruchomości, WIG",wynajem nieruchomości
CPI EUROPE AG,CPI,Główny Rynek,"WIG-nieruchomości, WIG",wynajem nieruchomości
CREEPY JAR,CRJ,Główny Rynek,"WIGdivplus, WIG140, WIG-gry, WIGtechTR, sWIG80TR, WIG-Poland, sWIG80, WIG",Gry
CREOTECH INSTRUMENTS,CRI,Główny Rynek,"WIG140, WIGtechTR, sWIG80TR, WIG-Poland, sWIG80, WIG",Nowe Technologie
CYBER_FOLKS,CBF,Główny Rynek,"GPWB-CENTR, WIG140, WIGtechTR, CEEplus, mWIG40TR, WIGdiv, WIG-Poland, mWIG40, WIG",Nowe Technologie
CYFROWY POLSAT,CPS,Główny Rynek,"GPWB-CENTR, WIG140, WIGtechTR, CEEplus, mWIG40TR, WIG30TR, WIG30, WIG-Poland, mWIG40, WIG",Telekomunikacja
DADELO,DAD,Główny Rynek,"WIG-Poland, WIG",Handel Internetowy
DATAWALK,DAT,Główny Rynek,"GPWB-CENTR, WIG140, WIGtechTR, CEEplus, sWIG80TR, WIG-Poland, WIG-informatyka, sWIG80, WIG",oprogramowanie
DB ENERGY,DBE,Główny Rynek,"WIG-Poland, WIG-budownictwo, WIG",instalacje budowlane i telekomunikacyjne
DECORA,DCR,Główny Rynek,"WIGdivplus, WIG140, sWIG80TR, WIGdiv, WIG-Poland, WIG-budownictwo, sWIG80, WIG",materiały budowlane
DEKPOL,DEK,Główny Rynek,"WIG-Poland, WIG-budownictwo, WIG",budownictwo - pozostałe
DELKO,DEL,Główny Rynek,"WIG-Poland, WIG",artykuły spożywcze i szybko zbywalne
DEVELIA,DVL,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIGdiv, WIG-Poland, WIG-nieruchomości, mWIG40, WIG",sprzedaż nieruchomości
DIAGNOSTYKA,DIA,Główny Rynek,"WIGmed, WIG140, sWIG80TR, WIG-Poland, sWIG80, WIG",Ochrona Zdrowia - Pozostałe
DIGITAL NETWORK,DIG,Główny Rynek,"WIG-Poland, WIG-media, WIG",reklama i marketing
DIGITREE GROUP,DTR,Główny Rynek,"WIG-Poland, WIG-informatyka, WIG",oprogramowanie
DINO POLSKA,DNP,Główny Rynek,"WIG.MS-ECM, GPWB-CENTR, WIG140, CEEplus, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG20, WIG",artykuły codziennego użytku
DOM DEVELOPMENT,DOM,Główny Rynek,"WIGdivplus, GPWB-CENTR, WIG140, CEEplus, mWIG40TR, WIGdiv, WIG-Poland, WIG-nieruchomości, mWIG40, WIG",sprzedaż nieruchomości
ČEZ. A.S.,CEZ,Główny Rynek,"GPWB-CENTR, CEEplus, WIG-CEE, WIG-energia, WIG",energetyka
DRAGO ENTERTAINMENT,DGE,Główny Rynek,"WIG-gry, WIG-Poland, WIG",Gry
ECB,ECB,Główny Rynek,"WIG-energia, WIG-Poland, WIG",energetyka
